id,year,clearance,carclass,height,length,doorscount,width,fuelconsumption,bodytype,power,cost,availabilitycount,photo,mark,model,dB_at_idle,dB_at_50kmh,dB_at_80kmh,dB_at_100kmh,dB_at_120kmh,dB_at_140kmh,X,Y
866,2013,184,J,1650,4865,5,1925,-1,ALLROAD_5_DOORS,238,2400000,4,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d03b44e5e7b083c3bd9e414ca/cattouchret,Infiniti,FX,,,,,,,-4.8524446,-5.797707
867,2010,149,E,1500,4945,4,1845,-1,SEDAN,222,750000,1,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d0a20e4f6f374ce1192e76b82/cattouchret,Infiniti,M,,,,,,,-15.970024,4.0959277
868,2011,149,E,1500,4945,4,1845,-1,SEDAN,222,1300000,2,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d0a20e4f6f374ce1192e76b82/cattouchret,Infiniti,M,,,,,,,-15.970364,4.0959387
869,2012,149,E,1500,4945,4,1845,-1,SEDAN,222,1400000,2,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d0a20e4f6f374ce1192e76b82/cattouchret,Infiniti,M,,,,,,,-15.970357,4.095942
870,2016,211,C,1495,4425,5,1805,-1,HATCHBACK_5_DOORS,149,2300000,1,http://avatars.mds.yandex.net/get-verba/1030388/2a0000016097598a5e3bc91b57254b423eb3/cattouchret,Infiniti,Q30,,,,,,,8.520149,2.7655635
871,2014,130,D,1445,4790,4,1820,-1,SEDAN,211,1500000,5,http://avatars.mds.yandex.net/get-verba/1030388/2a000001609d66db44497324908b29a000c2/cattouchret,Infiniti,Q50,,,,,,,-8.283663,9.50788
872,2015,130,D,1445,4790,4,1820,-1,SEDAN,211,1800000,1,http://avatars.mds.yandex.net/get-verba/1030388/2a000001609d66db44497324908b29a000c2/cattouchret,Infiniti,Q50,,,,,,,-8.2836685,9.5078535
873,2016,130,D,1445,4790,4,1820,-1,SEDAN,211,2400000,1,http://avatars.mds.yandex.net/get-verba/1030388/2a000001609d66db44497324908b29a000c2/cattouchret,Infiniti,Q50,,,,,,,-8.283677,9.507803
874,2017,126,D,1445,4810,4,1820,-1,SEDAN,211,2400000,6,http://avatars.mds.yandex.net/get-verba/937147/2a0000016229aa61c404e58af2032a5285dc/cattouchret,Infiniti,Q50,,,,,,,-8.44101,9.367077
875,2014,145,E,1501,5131,4,1844,-1,SEDAN,330,2000000,2,http://avatars.mds.yandex.net/get-verba/216201/2a000001608db7b04d7486beb8c45b23b15e/cattouchret,Infiniti,Q70,,,,,,,-17.175688,-2.4072928
876,2016,145,E,1501,5131,4,1844,-1,SEDAN,330,2200000,1,http://avatars.mds.yandex.net/get-verba/216201/2a000001608db7b04d7486beb8c45b23b15e/cattouchret,Infiniti,Q70,,,,,,,-17.175735,-2.4073038
877,2016,202,J,1515,4425,5,1815,-1,ALLROAD_5_DOORS,211,2300000,1,http://avatars.mds.yandex.net/get-verba/1030388/2a000001609849fac9e31e84734f2787a0be/cattouchret,Infiniti,QX30,,,,,,,8.352232,0.66826385
878,2013,147,J,1600,4635,5,1800,-1,ALLROAD_5_DOORS,222,1600000,3,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d4c42b8a75d5cab35416a14fd/cattouchret,Infiniti,QX50,,,,,,,4.151341,-4.865206
879,2014,147,J,1600,4635,5,1800,-1,ALLROAD_5_DOORS,222,1700000,3,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d4c42b8a75d5cab35416a14fd/cattouchret,Infiniti,QX50,,,,,,,4.15134,-4.865207
