car_full_id,X,Y
312_2010_BMW_1ER,-12.795842,-13.98368
313_2010_BMW_1ER,-12.795942,-13.98383
314_2011_BMW_1ER,-9.425669,-14.6507015
315_2011_BMW_1ER,-9.5352,-13.938789
316_2012_BMW_1ER,-9.425634,-14.650685
317_2013_BMW_1ER,-9.425669,-14.6507015
318_2013_BMW_1ER,-9.535176,-13.939791
319_2015_BMW_1ER,-9.349068,-14.603554
320_2016_BMW_1ER,-9.349092,-14.603216
321_2017_BMW_1ER,-9.360107,-14.65677
322_2018_BMW_1ER,-9.360105,-14.656771
323_2019_BMW_1ER,-9.989605,-14.33289
324_2011_BMW_M1,-0.81113285,-17.361452
325_2017_BMW_2ER,-4.5451336,-7.74259
326_2020_BMW_2ER,-0.9631209,-6.686073
327_2017_BMW_2ACTIVETOURER,-10.060601,-1.6896312
328_2016_BMW_2GRANDTOURER,-6.3130035,5.8039207
329_2010_BMW_3ER,1.1965547,-8.458575
330_2010_BMW_3ER,-0.8973711,-6.7594166
331_2011_BMW_3ER,2.7141855,-9.428195
332_2011_BMW_3ER,3.0929883,-9.133656
333_2012_BMW_3ER,3.0929906,-9.133656
334_2013_BMW_3ER,11.804745,-9.400278
335_2013_BMW_3ER,3.0929914,-9.1336565
336_2014_BMW_3ER,11.804546,-9.400128
337_2014_BMW_3ER,3.0930405,-9.133592
338_2015_BMW_3ER,11.77751,-9.347566
339_2015_BMW_3ER,3.2644467,-8.914864
340_2016_BMW_3ER,11.777514,-9.347567
341_2016_BMW_3ER,3.2640646,-8.91501
342_2016_BMW_3ER,3.2644472,-8.914867
343_2017_BMW_3ER,11.777511,-9.347568
344_2017_BMW_3ER,3.2640653,-8.9150095
345_2017_BMW_3ER,3.2645,-8.914941
346_2018_BMW_3ER,6.5037603,-11.336001
347_2019_BMW_3ER,6.503133,-11.3355875
348_2020_BMW_3ER,6.5038476,-11.336147
349_2010_BMW_5ER,16.321749,1.0777011
350_2010_BMW_5ER,15.75834,-6.439008
351_2011_BMW_5ER,16.321789,1.0776731
352_2011_BMW_5ER,15.758454,-6.438922
353_2012_BMW_5ER,16.32179,1.0776696
354_2012_BMW_5ER,15.758421,-6.438962
355_2013_BMW_5ER,18.729158,0.44319203
356_2014_BMW_5ER,16.346083,1.0947484
357_2014_BMW_5ER,18.729193,0.44356555
358_2015_BMW_5ER,18.729181,0.44355372
359_2016_BMW_5ER,18.729153,0.44319317
360_2017_BMW_5ER,16.59295,-4.097753
361_2018_BMW_5ER,16.400919,-3.9867635
362_2018_BMW_5ER,16.592955,-4.097757
363_2019_BMW_5ER,16.59298,-4.0975437
364_2020_BMW_5ER,16.791512,-3.7126186
365_2011_BMW_6ER,11.529807,-2.0971282
366_2012_BMW_6ER,11.529805,-2.0971217
367_2012_BMW_6ER,15.518869,-0.24059153
368_2013_BMW_6ER,11.529804,-2.0971136
369_2013_BMW_6ER,15.518868,-0.2405928
370_2014_BMW_6ER,15.518872,-0.2405914
371_2017_BMW_6ER,18.66031,0.88845336
372_2018_BMW_6ER,18.660303,0.8884486
373_2019_BMW_6ER,18.660307,0.8884523
374_2020_BMW_6ER,18.266642,1.3875408
375_2010_BMW_7ER,17.310282,1.9905363
376_2011_BMW_7ER,17.31024,1.9905512
